name,score1,msp1,score2,msp2,score3,msp3
Antonius Cleveland,0.693,Austin Rivers,0.642,Jerami Grant,0.639,James Webb III
Aron Baynes,0.95,Bobby Portis,0.949,Khris Middleton,0.942,Cory Joseph
Arron Afflalo,0.795,Zach LaVine,0.779,Patty Mills,0.775,Paul Zipser
Austin Rivers,0.905,Dewayne Dedmon,0.902,Spencer Dinwiddie,0.891,Marcus Smart
Avery Bradley,0.951,Tobias Harris,0.95,Bradley Beal,0.949,Paul George
Bam Adebayo,0.875,Kosta Koufos,0.863,Kevon Looney,0.851,Michael KiddGilchrist
Ben McLemore,0.916,Denzel Valentine,0.896,Marco Belinelli,0.885,Ian Clark
Ben Simmons,0.885,Michael KiddGilchrist,0.883,LaMarcus Aldridge,0.875,Evan Fournier
Bismack Biyombo,0.91,Michael KiddGilchrist,0.898,Trevor Booker,0.882,Cheick Diallo
Blake Griffin,0.949,Paul George,0.944,Bradley Beal,0.939,Andrew Wiggins
Boban Marjanovic,0.836,Nene,0.789,Amir Johnson,0.788,Manu Ginobili
Bobby Brown,0.794,Royce ONeale,0.761,JaKarr Sampson,0.743,Aaron Gordon
Bobby Portis,0.972,DeMar DeRozan,0.971,Khris Middleton,0.969,Jeremy Lamb
Bogdan Bogdanovic,0.971,Klay Thompson,0.956,Lauri Markkanen,0.956,Ian Clark
Bojan Bogdanovic,0.966,Jamal Murray,0.962,Bobby Portis,0.961,Al Horford
Bradley Beal,0.981,Paul George,0.981,CJ McCollum,0.978,Jordan Clarkson
Brandan Wright,0.844,Sam Dekker,0.832,Jordan Mickey,0.818,Amir Johnson
Brandon Ingram,0.949,KarlAnthony Towns,0.948,Dennis Smith Jr,0.945,Jayson Tatum
Brandon Jennings,0.74,Nick Young,0.739,Brice Johnson,0.731,Tyreke Evans
Brandon Paul,0.837,Marvin Williams,0.807,Jordan Bell,0.802,Raymond Felton
Briante Weber,0.794,Nik Stauskas,0.71,Darrun Hilliard,0.695,Larry Nance Jr
Brice Johnson,0.796,Greg Monroe,0.767,Wesley Johnson,0.742,David West
Brook Lopez,0.962,Anthony Davis,0.958,Andrew Wiggins,0.956,Zach Randolph
Bruno Caboclo,0.741,John Holland,0.715,Matthew Dellavedova,0.71,Jalen Jones
Bryn Forbes,0.947,Cory Joseph,0.943,Paul George,0.94,Avery Bradley
Buddy Hield,0.952,Tomas Satoransky,0.95,Bradley Beal,0.945,Tobias Harris
Caleb Swanigan,0.792,Sam Dekker,0.774,Malik Monk,0.742,Ekpe Udoh
Cameron Payne,0.866,Vince Carter,0.845,Dennis Smith Jr,0.828,Patty Mills
Caris LeVert,0.958,Jimmy Butler,0.956,Gary Harris,0.956,CJ McCollum
Carmelo Anthony,0.975,Ish Smith,0.969,Jamal Murray,0.968,CJ McCollum
Cedi Osman,0.844,Tomas Satoransky,0.834,Justin Holiday,0.829,James Johnson
Chandler Parsons,0.869,Marcus Morris,0.869,CJ McCollum,0.867,Ian Clark
Channing Frye,0.888,Bogdan Bogdanovic,0.883,Serge Ibaka,0.88,Kyle Anderson
Cheick Diallo,0.891,Michael KiddGilchrist,0.888,Derrick Favors,0.882,Bismack Biyombo
Chris McCullough,0.786,Tim Frazier,0.773,Jawun Evans,0.759,Tony Snell
Chris Paul,0.975,Lou Williams,0.97,Jordan Clarkson,0.968,Kyrie Irving
CJ McCollum,0.981,Kemba Walker,0.981,Bradley Beal,0.979,Jeremy Lamb
CJ Miles,0.898,Justin Holiday,0.891,Marquese Chriss,0.89,Victor Oladipo
CJ Williams,0.887,Brook Lopez,0.88,Jeff Teague,0.878,Tony Parker
Clint Capela,0.895,Steven Adams,0.845,Jakob Poeltl,0.842,CJ Williams
Cody Zeller,0.809,Myles Turner,0.807,Cameron Payne,0.803,MarShon Brooks
Cole Aldrich,0.703,Nick Collison,0.692,Salah Mejri,0.668,Udonis Haslem
Corey Brewer,0.834,Jae Crowder,0.83,Dante Cunningham,0.767,Trey Lyles
Cory Joseph,0.961,Tobias Harris,0.954,Khris Middleton,0.954,Kevin Durant
Courtney Lee,0.971,Jamal Murray,0.966,DAngelo Russell,0.964,Anthony Davis
Cristiano Felicio,0.834,Enes Kanter,0.812,Trevor Booker,0.811,Zaza Pachulia
Dakari Johnson,0.837,Montrezl Harrell,0.763,Wes Iwundu,0.759,Ian Mahinmi
Damian Jones,0.813,Tyson Chandler,0.745,Omer Asik,0.727,Torrey Craig
Damian Lillard,0.972,Harrison Barnes,0.969,Evan Turner,0.967,Otto Porter Jr
